CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,48,-,-,-,-,-,"1,500","6,971.95","7,042.10","1,500","10,000.00","2,47,100",0.10,0.15,"58,300",-0.05,0.10,208.51,"4,136",-730,"12,850",
,"13,945",-26,833,292.76,"6,020.00",19.20,50,"6,001.20","6,027.35",400,"11,000.00","1,59,450",0.10,0.15,"10,250",-0.10,0.10,172.84,"3,170","1,339","8,489",
,6,-,3,221.03,"5,010.00",-40.00,100,"4,961.80","5,023.60",50,"12,000.00","1,400",0.25,0.30,"1,300",-0.05,0.30,145.45,"4,174",195,"3,147",
,664,-17,56,191.02,"4,020.00",0.65,100,"4,002.15","4,021.75",50,"13,000.00","11,550",0.25,0.35,"9,450",-0.15,0.30,115.61,"3,948",-30,"3,840",
,"2,557",-86,199,141.07,"2,990.00",-34.20,100,"3,004.70","3,019.85",50,"14,000.00","28,950",0.40,0.50,"5,200",-0.05,0.45,88.68,"9,086","-2,018","16,417",
-,-,-,-,-,-,-,-,-,-,-,"14,200.00",50,0.65,0.70,850,-0.20,0.65,84.89,"1,703",-14,234,
,-,-,-,-,-,-,50,"2,710.65","2,783.10",50,"14,250.00",150,0.70,0.85,"1,850",-0.15,0.70,84.59,335,53,294,
,8,-,2,188.65,"2,810.00",-340.00,100,"2,605.95","2,740.45",100,"14,300.00","2,000",0.60,0.65,500,-0.15,0.65,82.48,"1,492",98,479,
,6,-,-,-,-,-,100,"2,637.85","2,660.80",100,"14,350.00","1,900",0.55,0.95,"1,550",-0.60,0.55,79.70,255,-11,82,
,1,-,-,-,-,-,"1,500","2,498.25","2,658.25","1,500","14,400.00",350,0.65,0.80,750,-0.45,0.70,80.00,"1,099",79,276,
,1,-,-,-,-,-,100,"2,507.45","2,573.60",100,"14,450.00",200,0.65,1.00,700,-0.10,1.00,81.29,79,-7,117,
,"1,722",-94,548,118.54,"2,507.80",-17.50,350,"2,515.00","2,521.30",50,"14,500.00",950,0.75,0.80,50,-0.20,0.80,77.96,"4,620",-310,"7,263",
,-,-,-,-,-,-,"1,500","2,366.65","2,510.25","1,500","14,550.00",750,0.60,1.00,200,-0.55,0.70,77.33,"3,717",10,116,
,21,-8,14,130.52,"2,435.00",-605.00,"1,500","2,319.40","2,449.20",100,"14,600.00",800,0.65,0.85,100,-0.50,0.70,74.89,525,90,280,
,-,-,-,-,-,-,"1,600","2,257.40","2,393.65",100,"14,650.00",450,0.65,0.85,200,-0.50,0.70,72.40,"1,699",43,114,
,12,-4,6,125.76,"2,335.00",-79.95,"1,500","2,212.75","2,353.25","1,500","14,700.00",50,0.65,0.80,200,-0.40,0.70,70.89,518,10,271,
,1,-,-,-,-,-,100,"2,210.40","2,292.40",100,"14,750.00",150,0.75,0.80,200,-0.30,0.80,70.31,770,62,149,
,20,-9,14,160.18,"2,310.00",-585.00,100,"2,112.50","2,247.10",100,"14,800.00",200,0.80,0.85,200,-0.35,0.85,69.61,592,-74,641,
,-,-,-,-,-,-,"1,500","2,060.80","2,203.25","1,500","14,850.00",50,0.80,0.90,300,-0.55,0.85,67.68,312,44,92,
,9,-,3,105.44,"2,121.00",-809.60,"1,500","2,014.20","2,141.20",100,"14,900.00",300,0.75,0.85,200,-0.50,0.75,66.92,"1,066",128,445,
,-,-,-,-,-,-,100,"2,011.65","2,093.00",100,"14,950.00",50,0.80,0.90,250,-0.40,0.95,65.38,300,57,160,
,"7,541",-182,760,-,"1,984.00",-43.90,150,"2,005.85","2,017.35",150,"15,000.00","3,300",0.90,0.95,"2,200",-0.40,0.90,64.53,"18,872","-2,258","28,665",
